Angle,P(v15),aG_2_x,aG_2_y,aG_4_x,aG_4_y,alp_2,alp_4,F_24_x,F_24_y,F_32,F_42_x,F_42_y,T_13,L_AB
17,40.0,-1.557286845784634,0.2421493369699109,-2.868780445495701,0.24214933696991087,13.148198238207344,2.357574281439448,44.36883479132691,56.05316100182368,166.92072731044095,44.36883479132691,56.05316100182368,5.608078340083212,70
18,40.0,-1.5298000052561707,0.21218096525372274,-2.7953815455919306,0.21218096525372276,12.834655404209489,1.4546288066528346,44.23481385451872,45.06856452141505,157.88431158769447,44.23481385451872,45.06856452141505,5.385821454440074,70
19,40.0,-1.50267113966676,0.1827419727217127,-2.7238038982050137,0.18274197272171272,12.526807622965418,0.5791295250329103,44.10470169411237,34.47166606113069,149.26752778153673,44.10470169411237,34.47166606113069,5.167575453400541,70
20,40.0,-1.475885120626573,0.1538286551925285,-2.6539861707258887,0.15382865519252847,12.224510001123823,-0.26966632320062645,43.97837220968689,24.249680641544042,141.05332190568294,43.97837220968689,24.249680641544042,4.953587867468972,70
21,40.0,-1.44942731815147,0.12543716074065675,-2.5858678365773926,0.1254371607406567,11.927619858643897,-1.0924969612836521,43.85570041877084,14.390015299183858,133.22516123300596,43.85570041877084,14.390015299183858,4.744071246990456,70
22,40.0,-1.4232835866376317,0.09756351103910751,-2.5193892570628136,0.09756351103910754,11.635996757964794,-1.8900937140839318,43.73656268670929,4.880301082612375,125.76704393042068,43.73656268670929,4.880301082612375,4.539206098962872,70
23,40.0,-1.3974402508530135,0.07020362107761634,-2.4544917513793783,0.07020362107761635,11.349502524729385,-2.663178933641672,43.62083692691302,-4.291579814376106,118.66350462273657,43.62083692691302,-4.291579814376106,4.339143645063226,70
24,40.0,-1.3718840919880473,0.04335331736307967,-2.3911176557792038,0.04335331736307968,11.068001260827536,-3.412464189107378,43.50840277386952,-13.137471328798162,111.89961639001466,43.50840277386952,-13.137471328798162,4.1440084040143415,70
25,40.0,-1.346602333802599,0.017008354702748307,-2.32921037281206,0.017008354702748252,10.791359350465804,-4.1386486992099485,43.39914173118547,-21.66892478774264,105.4609896598747,43.39914173118547,-21.66892478774264,3.953900602631639,70
26,40.0,-1.32158262890125,-0.008835568335200304,-2.2687144115342854,-0.008835568335200328,10.519445459915818,-4.842417986538151,43.29293729681346,-29.897183752682615,99.33376841500552,43.29293729681346,-29.897183752682615,3.7688984208501095,70
27,40.0,-1.2968130451645468,-0.03418279519469595,-2.2095754195173907,-0.03418279519469586,10.252130531543049,-5.524442734095897,43.18967506749729,-37.83317207834326,93.50462409706805,43.18967506749729,-37.83317207834326,3.5890600767719683,70
28,40.0,-1.2722820523598213,-0.05903769825475089,-2.151740207438853,-0.05903769825475097,9.989287772670227,-6.185377825778751,43.089242824349455,-45.487484842806914,87.96074755136698,43.089242824349455,-45.487484842806914,3.4144257583243736,70
29,40.0,-1.2479785089516098,-0.08340466682377239,-2.095156766987074,-0.0834046668237724,9.730792639785955,-6.825861553598333,42.99153060135479,-52.870381831933805,82.6898393222044,42.99153060135479,-52.870381831933805,3.2450194085021535,70
30,40.0,-1.2238916491284164,-0.10728809613141085,-2.0397742827628518,-0.10728809613141088,9.476522818568064,-7.4465149756421845,42.89643073847598,-59.99178328661573,77.68009857672251,42.89643073847598,-59.99178328661573,3.080850371416205,70
31,40.0,-1.2000110700596667,-0.1306923772487054,-1.9855431388114122,-0.13069237724870536,9.226358200153346,-8.047941409887228,42.80383792092113,-66.86126764569352,72.92021090529734,42.80383792092113,-66.86126764569352,2.9219149064964585,70
32,40.0,-1.176326719394072,-0.15362188787158304,-1.9324149203724315,-0.15362188787158298,8.980180854050086,-8.630726050078898,42.71364920602175,-73.48807104047066,68.39933521910218,42.71364920602175,-73.48807104047066,2.768197578228275,70
33,40.0,-1.152828883008285,-0.17608098390684224,-1.880342411390632,-0.17608098390684218,8.737874998057059,-9.195435690937888,42.625764039061664,-79.8810883185602,64.10708994025933,42.625764039061664,-79.8810883185602,2.6196725287502622,70
34,40.0,-1.1295081730126457,-0.1980739918035965,-1.8292795882868145,-0.19807399180359647,8.499326965522418,-9.742618550959836,42.54008425929427,-86.04887539529841,60.033538656936926,42.54008425929427,-86.04887539529841,2.476304640524435,70
35,40.0,-1.1063555160189211,-0.21960520157678406,-1.7791816104484668,-0.21960520157678415,8.26442517024754,-10.272804182025407,42.456514097287105,-91.99965275011076,56.16917539473629,42.456514097287105,-91.99965275011076,2.338050596120096,70
36,40.0,-1.0833621416733166,-0.24067886047276535,-1.7300048078606907,-0.2406788604727655,8.033060069315056,-10.786503455938606,42.37496016463976,-97.74130990305399,52.504909636630444,42.37496016463976,-97.74130990305399,2.204859841941768,70
37,40.0,-1.0605195714565543,-0.26129916723025964,-1.6817066662619489,-0.26129916723025964,7.805124124096075,-11.284208618858209,42.29533143703308,-103.28141072329088,49.03205120644931,42.29533143703308,-103.28141072329088,2.0766754624891868,70
38,40.0,-1.0378196077514839,-0.2814702668929011,-1.6342458101750534,-0.2814702668929011,7.580511759669066,-11.76639340538193,42.21753923148496,-108.62719943653975,45.74229511532576,42.21753923148496,-108.62719943653975,1.953434971471601,70
39,40.0,-1.015254323177586,-0.30119624613256335,-1.5875819841320342,-0.30119624613256324,7.359119322862403,-12.233513204784735,42.14149717861043,-113.78560721260529,42.62770645652006,42.14149717861043,-113.78560721260529,1.8350710258173213,70
40,40.0,-0.9928160501906766,-0.32048112904527076,-1.541676032381776,-0.3204811290452707,7.140845039113303,-12.686005272603886,42.067121190611225,-118.76325922701265,39.68070542148994,42.067121190611225,-118.76325922701265,1.7215120683278413,70
41,40.0,-0.9704973709452597,-0.3393288733840626,-1.4964898773416975,-0.3393288733840625,6.925588968318188,-13.124288981404245,41.99432942565277,-123.56648210257808,36.894052498870195,41.99432942565277,-123.56648210257808,1.6126829044295854,70
42,40.0,-0.9482911074161842,-0.3577433671955327,-1.451986497029046,-0.3577433671955328,6.713252959833117,-13.548766105151659,41.923042249223485,-128.2013116475361,34.26083390804502,41.923042249223485,-128.2013116475361,1.5085052181789482,70
43,40.0,-0.9261903117755966,-0.3757284258290061,-1.4081299016836368,-0.3757284258290061,6.5037406067678445,-13.95982113216979,41.85318219301302,-132.67350081664657,31.77444731014341,41.85318219301302,-132.67350081664657,1.4088980323816216,70
44,40.0,-0.9041882570206018,-0.39328778928940494,-1.3648851097719747,-0.39328778928940483,6.296957199703131,-14.357821602160021,41.78467391179286,-136.98852783060306,29.42858783146268,41.78467391179286,-136.98852783060306,1.313778117397964,70
45,40.0,-0.8822784278465315,-0.41042511990682057,-1.3222181235423491,-0.41042511990682057,6.092809679947926,-14.743118463228221,41.71744413873211,-141.151604397125,27.217234427416514,41.71744413873211,-141.151604397125,1.2230603529237734,70
46,40.0,-0.8604545117603111,-0.42714400029765426,-1.2800959042819806,-0.4271440002976543,5.891206592441265,-15.11604644528605,41.651421639536395,-145.16768398437992,25.13463660905068,41.651421639536395,-145.16768398437992,1.1366580467630623,70
47,40.0,-0.8387103904280364,-0.44344793159391155,-1.2384863474101306,-0.4434479315939116,5.692058038392677,-15.47692444658289,41.58653716575486,-149.04147010392896,23.175301548867015,41.58653716575486,-149.04147010392896,1.054483214346579,70
48,40.0,-0.8170401312505888,-0.4593403319188665,-1.1973582575254444,-0.4593403319188665,5.495275627744855,-15.826055930478615,41.52272340756255,-152.77742456626595,21.33398157808016,41.52272340756255,-152.77742456626595,0.9764468224982434,70
49,40.0,-0.7954379791608442,-0.4748245350888205,-1.1566813235114175,-0.4748245350888205,5.300772431532911,-16.163729329889478,41.45991494628902,-156.37977567728328,19.605662083426974,41.45991494628902,-156.37977567728328,0.9024590007117471,70
50,40.0,-0.7738983486358566,-0.4899037895221174,-1.116426093790794,-0.4899037895221174,5.108462934206124,-16.490218457132283,41.398048206932444,-159.85252634869943,17.98554980819534,41.398048206932444,-159.85252634869943,0.8324292229718332,70
51,40.0,-0.7524158159172051,-0.504581257337893,-1.0765639518077088,-0.5045812573378932,4.918262985970008,-16.805782917156854,41.3370614108683,-163.19946209966656,16.469061559173138,41.3370614108683,-163.19946209966656,0.7662664629391299,70
52,40.0,-0.730985111432591,-0.5188600136283129,-1.037067091805499,-0.5188600136283129,4.730089755199391,-17.110668522397102,41.27689452893508,-166.42415893049994,15.051813318689835,41.27689452893508,-166.42415893049994,0.703879325114008,70
53,40.0,-0.7096011124116662,-0.5327430458891971,-0.9979084949581973,-0.532743045889197,4.543861680966469,-17.40510770768691,41.2174892350545,-169.52999105275785,13.729609758781102,41.2174892350545,-169.52999105275785,0.6451761544035229,70
54,40.0,-0.688258835689007,-0.5462332535950578,-0.9590619059046642,-0.5462332535950579,4.359498425721586,-17.689319943882495,41.15878886052145,-172.52013846281204,12.498434152705958,41.15878886052145,-172.52013846281204,0.5900651263357601,70
55,40.0,-0.6669534306871208,-0.5593334479055714,-0.9205018097262079,-0.5593334479055714,4.176920828159025,-17.963512149006885,41.100738349078696,-175.39759434859383,11.354438677553146,41.100738349078696,-175.39759434859383,0.5384543199978185,70
56,40.0,-0.6456801725723349,-0.5720463514915064,-0.8822034094010504,-0.5720463514915063,3.996050856294663,-18.22787909589028,41.04328421287242,-178.16517232145281,10.293935100434835,41.04328421287242,-178.16517232145281,0.4902517756160326,70
57,40.0,-0.6244344555764318,-0.5843745984689976,-0.8441426037623506,-0.5843745984689975,3.8168115607778477,-18.48260381541893,40.9863744893683,-180.82551346700458,9.313385839774652,40.9863744893683,-180.82551346700458,0.44536553855056005,70
58,40.0,-0.6032117864769034,-0.5963207344319403,-0.8062959659803905,-0.5963207344319403,3.639127028455265,-18.727857994631343,40.92995869929255,-183.3810932105528,8.409395392395115,40.92995869929255,-183.3810932105528,0.4037036913393495,70
59,40.0,-0.5820077782287271,-0.6078872165730357,-0.7686407225840864,-0.6078872165730358,3.46292233620077,-18.963802369010907,40.873987805648504,-185.8342279941273,7.5787021164979445,40.873987805648504,-185.8342279941273,0.3651743752995087,70
60,40.0,-0.5608181437406086,-0.6190764138847948,-0.7311547330320223,-0.6190764138847948,3.288123505021318,-19.19058710842319,40.81841417384696,-188.18708176344657,6.818170360160345,40.81841417384696,-188.18708176344657,0.3296858030755042,70
61,40.0,-0.5396386897886852,-0.629890607432493,-0.6938164698387839,-0.629890607432493,3.114657454445906,-19.408352196233228,40.763191532977324,-190.4416722641861,6.124782924642257,40.763191532977324,-190.4416722641861,0.2971462634139559,70
62,40.0,-0.518465311060746,-0.6403319906917218,-0.6566049992583625,-0.6403319906917216,2.942451957201369,-19.617227801214923,40.70827493823656,-192.5998771478454,5.495633851579553,40.70827493823656,-192.5998771478454,0.2674641193428131,70
63,40.0,-0.4972939843240835,-0.6504026699438156,-0.6194999625228159,-0.6504026699438156,2.7714355941759985,-19.817334641932344,40.65362073452369,-194.66343988827288,4.927921523016363,40.65362073452369,-194.66343988827288,0.24054780083820876,70
64,40.0,-0.4761207627101681,-0.6601046647230003,-0.5824815576311373,-0.6601046647230002,2.6015377096694743,-20.00878434333213,40.59918652119954,-196.633975510548,4.418942063188535,40.59918652119954,-196.633975510548,0.21630579297466868,70
65,40.0,-0.45494177010940895,-0.6694399083096576,-0.5455305216804452,-0.6694399083096576,2.4326883669253068,-20.191679785337318,40.54493111800417,-198.51297613443458,3.966083031004437,40.54493111800417,-198.51297613443458,0.19464662047351117,70
66,40.0,-0.433753195669338,-0.6784102482646284,-0.5086281137289808,-0.6784102482646285,2.26481830393975,-20.366115443278524,40.49081453211764,-200.30181633505174,3.5668173922489865,40.49081453211764,-200.30181633505174,0.17547882948885102,70
67,40.0,-0.41255128838964084,-0.6870174469999479,-0.47175609817814035,-0.6870174469999479,2.0978588895393915,-20.532177720037,40.436797926344,-202.0017583237387,3.2186977606764646,40.436797926344,-202.0017583237387,0.1587109674013968,70
68,40.0,-0.39133235180753173,-0.6952631823818747,-0.43489672865872586,-0.6952631823818748,1.9317420797177882,-20.68994526980737,40.38284358839326,-203.61395695234492,2.919350897329557,40.38284358839326,-203.61395695234492,0.14425156132586736,70
69,40.0,-0.3700927387670509,-0.7031490483625156,-0.39803273240474735,-0.7031490483625155,1.7664003742199368,-20.839489313417477,40.32891490123118,-205.13946454437863,2.6664724576217065,40.32891490123118,-205.13946454437863,0.13200909597812466,70
70,40.0,-0.3488288462659466,-0.7106765556367519,-0.361147295096536,-0.7106765556367519,1.601766773362011,-20.98087394516687,40.274976314462634,-206.57923555657447,2.457821975950632,40.274976314462634,-206.57923555657447,0.12189199149316345,70
71,40.0,-0.3275371103738844,-0.7178471323215718,-0.3242240461535065,-0.7178471323215718,1.4377747350725536,-21.114156431166503,40.220993316710775,-207.93413107452832,2.2912180778569815,40.220993316710775,-207.93413107452832,0.11380858173408659,70
72,40.0,-0.30621400121579334,-0.7246621246552921,-0.2872470444556085,-0.7246621246552922,1.2743581321399948,-21.239387499180815,40.16693240895059,-209.20492314610075,2.1645339099945793,40.16693240895059,-209.20492314610075,0.10766709358462104,70
73,40.0,-0.28485601801425364,-0.7311227977145021,-0.2502007644714823,-0.731122797714502,1.1114512096506297,-21.356611619987607,40.11276107875305,-210.39229895629146,2.075692778455123,40.11276107875305,-210.39229895629146,0.10337562767437976,70
74,40.0,-0.26345968418488885,-0.7372303361469164,-0.21307008277030315,-0.7372303361469164,0.9489885426000432,-21.46586728028494,40.058447775392956,-211.4968648472809,2.0226639862535505,40.058447775392956,-211.4968648472809,0.10084214094504108,70
75,40.0,-0.24202154247880597,-0.7429858449186454,-0.17584026489350413,-0.7429858449186454,0.7869049936603247,-21.56718724718447,40.00396188577191,-212.5191501872907,2.003458861060879,40.00396188577191,-212.5191501872907,0.09997443142830144,70
76,40.0,-0.2205381501661967,-0.7483903500747124,-0.13849695256185895,-0.7483903500747124,0.625135671084723,-21.660598824340227,39.94927371110549,-213.45961109185612,2.016126964544654,39.94927371110549,-213.45961109185612,0.10068012557155456,70
77,40.0,-0.1990060742552776,-0.7534447995119665,-0.10102615119273889,-0.7534447995119665,0.46361588673073173,-21.746124099770313,39.894354444322346,-214.31863400104717,2.058752474944644,39.894354444322346,-214.31863400104717,0.10286666841473162,70
78,40.0,-0.17742188674081433,-0.7581500637638261,-0.06341421770188777,-0.7581500637638261,0.3022811141821882,-21.823780185435254,39.839176148121254,-215.0965391160817,2.1294507347838985,39.839176148121254,-215.0965391160817,0.1064413168920418,70
79,40.0,-0.15578215987653535,-0.7625069367965881,-0.02564784856359592,-0.7625069367965882,0.1410669469505379,-21.89357944864333,39.78371173363123,-215.79358369869882,2.226364955875149,39.78371173363123,-215.79358369869882,0.11131113650451192,70
80,40.0,-0.13408346146580216,-0.7665161368173296,0.012285931897213387,-0.7665161368173296,-0.02009094326492593,-21.955529735359193,39.72793493961852,-216.40996523657753,2.347663074035698,39.72793493961852,-216.40996523657753,0.117383001583429,70
81,40.0,-0.1123223501649572,-0.7701783070937075,0.05039978300774664,-0.7701783070937076,-0.18125684827821498,-22.009634585497103,39.671820312183705,-216.9458244779965,2.4915347461761854,39.671820312183705,-216.9458244779965,0.12456359934124751,70
